iter	Passed	Remaining
777	1061	302
778	1062	301
779	1063	300
780	1065	298
781	1066	297
782	1067	295
783	1068	294
784	1070	293
785	1071	291
786	1072	290
787	1073	288
788	1075	287
789	1076	286
790	1078	284
791	1079	283
792	1080	282
793	1081	280
794	1083	279
795	1084	277
796	1085	276
797	1087	275
798	1088	273
799	1089	272
800	1091	271
801	1092	269
802	1093	268
803	1095	266
804	1096	265
805	1097	264
806	1098	262
807	1100	261
808	1101	260
809	1102	258
810	1103	257
811	1105	255
812	1106	254
813	1108	253
814	1109	251
815	1110	250
816	1111	249
817	1112	247
818	1114	246
819	1115	244
820	1116	243
821	1118	242
822	1119	240
823	1120	239
824	1122	238
825	1123	236
826	1124	235
827	1125	233
828	1127	232
829	1128	231
830	1129	229
831	1130	228
832	1132	226
833	1133	225
834	1134	224
835	1135	222
836	1137	221
837	1138	220
838	1139	218
839	1140	217
840	1142	215
841	1143	214
842	1144	213
843	1145	211
844	1146	210
845	1147	208
846	1148	207
847	1150	206
848	1151	204
849	1152	203
850	1153	201
851	1154	200
852	1155	199
853	1157	197
854	1158	196
855	1159	195
856	1161	193
857	1162	192
858	1163	190
859	1164	189
860	1166	188
861	1167	186
862	1169	185
863	1170	184
864	1171	182
865	1172	181
866	1173	180
867	1174	178
868	1176	177
869	1177	175
870	1178	174
871	1180	173
872	1181	171
873	1182	170
874	1183	169
875	1185	167
876	1187	166
877	1188	165
878	1190	163
879	1191	162
880	1192	161
881	1194	159
882	1195	158
883	1196	157
884	1197	155
885	1198	154
886	1200	152
887	1202	151
888	1203	150
889	1204	148
890	1206	147
891	1207	146
892	1208	144
893	1210	143
894	1211	142
895	1212	140
896	1213	139
897	1214	137
898	1215	136
899	1217	135
900	1218	133
901	1219	132
902	1220	131
903	1222	129
904	1223	128
905	1224	127
906	1226	125
907	1228	124
908	1229	123
909	1230	121
910	1231	120
911	1232	118
912	1233	117
913	1235	116
914	1236	114
915	1238	113
916	1239	112
917	1240	110
918	1242	109
919	1243	108
920	1244	106
921	1246	105
922	1247	104
923	1248	102
924	1249	101
925	1251	99
926	1252	98
927	1253	97
928	1254	95
929	1256	94
930	1257	93
931	1258	91
932	1259	90
933	1260	89
934	1261	87
935	1262	86
936	1264	85
937	1265	83
938	1266	82
939	1267	80
940	1269	79
941	1270	78
942	1272	76
943	1273	75
944	1274	74
945	1275	72
946	1276	71
947	1277	70
948	1279	68
949	1280	67
950	1281	66
951	1282	64
952	1284	63
953	1285	61
954	1286	60
955	1287	59
956	1288	57
957	1289	56
958	1291	55
959	1292	53
960	1293	52
961	1294	51
962	1296	49
963	1297	48
964	1298	47
965	1300	45
966	1301	44
967	1302	43
968	1304	41
969	1305	40
970	1306	39
971	1307	37
972	1308	36
973	1310	34
974	1311	33
975	1313	32
976	1314	30
977	1315	29
978	1316	28
979	1318	26
980	1319	25
981	1321	24
982	1322	22
983	1323	21
984	1324	20
985	1325	18
986	1327	17
987	1328	16
988	1329	14
989	1330	13
990	1332	12
991	1334	10
992	1335	9
993	1336	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1343	1
999	1344	0
